,Review Name,Review Text,address,city
10, Gurkirat Singh ,"This location is One of the worst place to have coffee. Their staff does not know the difference between ""Milk"" and ""Cream"". Especially the girls who are working here does not know basic manners about how to treat customers. They work as if this is their dad's store.
I went to this store on saturday morning 16feb around 10:45 am. I ordered steap tea with milk and they gave me with cream. I ordered it again then they again gave me with cream. I asked her if this is milk and she said with confidence its milk. Wow!!!! It was cream.
I drink steap tea every day. Hats off to her confidence.

I wish if I could give 0 stars", 1493 Finch Ave W, North York
11, Arun George ,Do you wanted to see how this place gave my  eclair . Guess forgot my box, 1493 Finch Ave W, North York
12, Jordan Carr ,"Great service compared to other Timmies in Toronto. They nailed my weird drink, XL French vanilla with a raspberry shot, two creams, and whipped topping, and didn’t give me a weird look when I asked for it.
Five stars.", 1493 Finch Ave W, North York
13, Shailesh Sharma ,Of course it’s busy but the staff was comparatively fast then the other stores. Staff is really good and quick specially Superviser name Vaishali. She made my coffee and it was real test of Canada. Only thing is they don’t have dine-in and store is too small and has only two cas machine., 1493 Finch Ave W, North York
14, Rustam Thakur ,"Very bad and slow service. Waited 15 mins only for 1 bagel and 1 ice coffee.
Not recommend", 1493 Finch Ave W, North York
15, Amin Vaez ,"I go there everyday and get a XL DD and a Boston cream donut. service is fast and pastries are fresh although I've received stale donuts a couple times and warm coffee at times rarely, but I'm not mad", 1493 Finch Ave W, North York
16, vishnu s kumar ,I ordered the dark roast coffee a couple of times and 90% of time I got the bad ones. It wasn't fresh and not stirred well. Most other Tims also have the same problem with the dark roast coffee. I believe they only bother about the original blend coffee., 1493 Finch Ave W, North York
17, Parth Rabara ,"Worst food and staff. If u order iced coffee with extra cane sugar syrup u will still get the regular, if u order bagel double toasted with extra butter u will just get the regular bagel. Wouldn’t recommend this place and I request company officials to go for inspection", 1493 Finch Ave W, North York
18, Steven Isho ,"Very bad quality of food. Ordered 20 Timbits and after sharing a few with family, we found a total of 7 timbits all attached to each other with different strands of HAIR stuck in the glaze...staff is kind though.", 1493 Finch Ave W, North York
19, Tammy “Gataki” White ,Friendly staff items are fresh, 1493 Finch Ave W, North York
20, Divya Kansal ,French vanilla is best! And no dining can go and take away. Have little store also so can purchase some snacks as well., 1493 Finch Ave W, North York
21, JISHU ARORA ,"Great service, awesome staff and good food.", 1493 Finch Ave W, North York
22, nick knickle ,"good service but keep in mind that they dont have the FULL menu and only a little menu, if you want the full menu theres one at keele and finch but this place is nice to get donuts and drinks from", 1493 Finch Ave W, North York
23, kemo zain ,Worst location ever. Unprofessional and always that take too long. Especially when it comes to delivery., 1493 Finch Ave W, North York
24, Dmitriy Kornyenko ,"Thanks Tim Hortons, the ""BEST"" boston cream ever!!!", 1493 Finch Ave W, North York
25, Dr. Tisa Muhammad ,Just left horrible experience....”Canada’s favorite” The indian guy with the gap has a horrible attitude and he was acting like he was itritated by us just making an order. Sick, 1493 Finch Ave W, North York
26, Ravinder Pal Singh ,"Friendly staff, Fast service", 1493 Finch Ave W, North York
27, Matt Welke ,"When I first moved here in 2015, they were agonizingly slow. But they've really gotten their act together lately.", 1493 Finch Ave W, North York
28, Joy Ayogu ,"It's located inside  petrol Canada gas station, therefore it is not a seat-in restaurant", 1493 Finch Ave W, North York
29, Dimple Sharma ,very rude employees and no wrap and edibles available anytime of day., 1493 Finch Ave W, North York
30, ishaka luke ,Items are overpriced  in some cases more than the original price  and sometimes the same as original, 1493 Finch Ave W, North York
31, Keldon Mclean ,Let the photo speak for itself., 1493 Finch Ave W, North York
32, Aaron Putman ,Don't really like Tim Hortons. This one is no different. Just another boring selection and no flair., 1493 Finch Ave W, North York
33, Vamsee R ,"No star required, worth less Tims. I will not visit this location next time", 1493 Finch Ave W, North York
34, Wojciech Obirek ,The coffee is just bad the food isn't too much better, 1493 Finch Ave W, North York
35, Dhillon Saab ,"Only 1 star because the coffee i buy is not hot , thats too bad", 1493 Finch Ave W, North York
36, Salim Rashid ,Do not give your info to the guy selling the cibc Tim Hortons credit card, 1493 Finch Ave W, North York
37, Vivian Jagdeo ,"Always a very long wait for food and drinks , way to slow .", 1493 Finch Ave W, North York
38, Andrew Ma ,"Took too long, gave food to the wrong person, coffee was cold", 1493 Finch Ave W, North York
39, Maurizio Martinuzzi ,Over charge always mistake., 1493 Finch Ave W, North York
40, Jaipreet Hanspal ,Reasonable staff with fast pace servicing., 1493 Finch Ave W, North York
41, Tiago C ,Busy and understaffed, 1493 Finch Ave W, North York
42, Maryam4 ,"bad workers, bad customer service", 1493 Finch Ave W, North York
43, Walter Baptiste ,This location doesn't have a long wait, 1493 Finch Ave W, North York
44, Etta Gilbert ,Similar to Dunkin Donuts., 1493 Finch Ave W, North York
45, Manuel Campos ,"Canadian classic, you know what you're in for.", 1493 Finch Ave W, North York
46, Sivan Gunasingam ,Chilli in a bread bowl 😋 …, 1493 Finch Ave W, North York
47, Ali Salman Al-timimi ,Fast and great tims, 1493 Finch Ave W, North York
48, Sandrina Jn Baptiste ,I love it, 1493 Finch Ave W, North York
49, Vivette Walker ,Great coffee, 1493 Finch Ave W, North York
50, Kendra Russell ,Great coffee, 1493 Finch Ave W, North York
51, andrew deleon ,Yummy, 1493 Finch Ave W, North York
52, Eddie MacOliveir ,Nice, 1493 Finch Ave W, North York
53, Prasath Panneer Chelvam ,Nice place, 1493 Finch Ave W, North York
54, Manupranay Adupa ,Always awesome, 1493 Finch Ave W, North York
55, D.C Ogbonnah ,Fair, 1493 Finch Ave W, North York
56, Ramsey Enato ,Great service, 1493 Finch Ave W, North York
57, satpal singh ,Rude staff, 1493 Finch Ave W, North York
58, Sanjay Kumar ,Nice place, 1493 Finch Ave W, North York
59, Adi Ben ,Good place, 1493 Finch Ave W, North York
0, 07 Dattesh Pandya ,"Awesome Welcoming Staff, big hall easily available for 30-35 people visit at a time. The cleanliness is small issue. Otherwise is good place to have your coffee", 3981 Jane St, North York
1, Ramninder Kaur ,Staff don’t know how to welcome someone. I used to take coffe from here every morning. A lady with dark lipstick started to laugh!! At me for no reason !!For real !?? Have some shame . Do ur work as work, 3981 Jane St, North York
2, Reshma Raju ,"My 3 kids and I go today and I gave order tim bits, cheese crescent, strawberry donut and plain bagel with butter and cream cheese in that time the employee put cheddar cheese....in the time I saw in the screen and i tell him I don't want cheddar cheese n he changed it...befor my order complete...other side other employee already start make my bagel with cheddar cheese ( this o e happen with 3-4 times)...when I received it I tell her this is not my then she told me why you don't tell before.....and she apart to yelling me so I also start to yell her to and then she go back and change it .....within that time my other order is in waiting.....every order I have to remain them about my oder one by one they gave me and in that time a few customers behind me already take a stuff and gone but I'm still there  waiting my other order.....I mean seriously ......how employee start to make before complet the order ......", 3981 Jane St, North York
3, David Paul Riccio ,My 10  Tim bit very good thank to weekend staff great service.week  staff need to work little better on service I go their alot, 3981 Jane St, North York
4, Chintu ,"Always busy Tim hortons, sometimes its too crowded inside to overall recommendation of takeouts.", 3981 Jane St, North York
5, Lee Anne Kulcheski ,Pleasant place to enjoy a coffee. The staff are great & friendly., 3981 Jane St, North York
6, dipinder singh ,Staff is horrible. They award for worst coffee can be awarded to this restaurent., 3981 Jane St, North York
7, Bharat Shah ,"A very busy place but not enough room, so it always looks over crowded. Difficult to find a place to sit down.
Customer service and staff are good, but it is not a cozy, pleasant place to enjoy with your family and/or and friends.", 3981 Jane St, North York
8, Sebastian Bias ,"They try their best and service is USUALLY good. Honestly, I feel like most of the time service slows down because of a extra picky Karen or some dude with nothing better to do but harass workers but mistakes do happen. Y'all in their shoes of working fast food or retail know what I'm talking about. 💯

Luckilly, it's a fast food coffee shop so nothing a few minutes won't fix on an honest mistake. Quality is great!", 3981 Jane St, North York
9, Brown Arnold ,"No Star at all.
Very rude, poor customer service.
Casher Akka was yelling at me while I ask help for cashing out.

I've never seen this terrible customer service before.
I don't expect Starbucks customer service at Tim Horton but this rude attitude I've never experienced at any other Tim Horton locations.", 3981 Jane St, North York
10, Shantel A ,Very crowded and very unhygienic. Take my word for it and avoid at all costs!!!, 3981 Jane St, North York
11, AMW Walcott ,"I rated 4 star for untidy floors and area location because of frequent loitering on the outside.  Nonetheless,  very much quicker Customer service than before.", 3981 Jane St, North York
12, Tuyen Le ,"This place not even get 1 star reviews
I just order some coffee and breakfast this morning by Timm apps. But they packed my order not right. I order 1 M Coffee, 2 L Iced Coffee and some breads..shipped to my house. i asked him just put and front door bc pandemic ( my mistake that’s I didn’t open the bag to check in front of him) put when i drop the bag, the bag very light not look heavy with 3 cups of coffee and some breads. As my thought, 2 Iced coffees Not Appear in the bag. I called the shipper rightway but he couldn’t speak English well. i have to call the Store because this thing happens so many time, sometime missing hashbrown, sometime coffee….just small thing. Thank god! The manager spoke to me but he said it was him packed everything my order so couldn’t have any problem. I think he should go back to train himself again. The good manager who have to resolve the mistake. He can’t not say like that. So rediculious!👎👎👎👎👎👎👎👎👎👎👎", 3981 Jane St, North York
13, Yvonne Vu ,"The place is nice, very family friendly and you're able to just sit and hangout. Although there once was a spill all over a table and some chairs and many customers informed the workers about it many times but I didn't see them clean it up. They even saw it but they just brushed it off and left it. I was there for 2 hours and during that time I saw no workers taking the initiative to clean the mess. Very sad", 3981 Jane St, North York
14, I & J Lopez Zavala ,Very disappointed in the cashier that took my order at approximately 9:30 pm that day.  She was rude and oddly enough I witnessed her be rude to a gentleman a day before too.  If she doesn't like working with people she should get another job., 3981 Jane St, North York
15, Yuvraj Chauhan ,Such an amazing customer service by Shri Lankan Lady named Trisunga(sorryfor spelling). Keep up the good work team!, 3981 Jane St, North York
16, Tine B ,With this pandemic that’s going around your employees in there yes they have mass on halfway and talking over the customers food I just came in there less than 10 minutes ago and you have your employees in the laughing talking over making my drinks and my food I literally was disgusted I have not eaten the food that you guys gave me. The same thing happened to my sister to get diesel that happened to me and it honestly gives the company a banding wear your mask prepare the food and don’t talk while you’re doing it, 3981 Jane St, North York
17, Morticia Omen ,"Powered egg breakfast sandwiches should be a thing of the past at this point.

I think that it is either a good Timmy coffee day or a bad burnt coffee kind of day. Why can't it just be the same everytime?

I don't like seeing flies in the donut display wither.

And what about the people with peanut allergies? Kind of looks like a war zone...

It would be nice if the guests can respect the rules and practice safe social distancing, instead of overcrowding the outside sidewalks.", 3981 Jane St, North York
18, K. Thompson ,This has got to be the worst Tim Horton's in Canada! It was absolutely filthy. The floor was disgusting. There was garbage everywhere. I wish I had had my phone with me as I would have posted a photo of all the garbage everywhere to this review and submitted it to head office. . Every item I originally wanted to order - except coffee - was not available. Same for the two people in line behind me. The staff were trying hard but it is difficult to serve customers when you have nothing to offer. Avoid this location and head to a different Tim's., 3981 Jane St, North York
19, Mahala Edwards ,"Service was slow. I hate having to ask for a double cup with my black coffee...should be by default that one is provided. Maybe they need to hire more people to clean their establishment. Total and complete mess in there. Garbage too full, dirty tables. I won't even mention the washroom. This is by far the worst Timmies I've seen.", 3981 Jane St, North York
20, Tiam Behdarvandan ,Always waiting over 15-30 minutes to be able to order. Very busy and very unorganized. Their cash screens are not working and they do not accept cards because their machines are down... how does this happen at Tim Hortons? This location needs help, 3981 Jane St, North York
21, Json ,Everything as expected of Tim Hortons but they tend to be inconsistent with their brew timing. I've had coffee that didn't taste like it was made fresh. This was in the afternoon/evening so everything should have already been freshly made., 3981 Jane St, North York
22, Abhilasha Kagra ,My order was taken by one of their team member(Raaj). We order 2 drinks potato wedges and one chicken wrap. She didn't assist us well she was very rude and non interested by her face and gave the food about 20 minutes later and the chicken was uncooked that's one of the worst experience I ever had with tim hortons although its was not busy at all., 3981 Jane St, North York
23, Tammy “Gataki” White ,"Friendly,clean,fresh coffee and items", 3981 Jane St, North York
24, Jawwad Khan ,"15 minutes for a bagel on a barren day, horrible service and very hostile staff. Its better to go to the McCafe across the other side of the mall, at least they get your orders done on time.", 3981 Jane St, North York
25, Rick Chatarpaul ,"Horrible service. Cramped and trash-filled location - don't even think about sitting down. It's become a joke for my friends to see how badly they will screw up an ""Extra large, half a cream"". Last time twice served me a cup filled halfway with cream. A friend was actually asked if they could change her order because the server didn't want to make a dark roast.  Do yourself a solid and use the Tim's drive-thru at the Esso across the street or the one at Sentinel and Finch.", 3981 Jane St, North York
26, Aman Kaur ,"Very bad customer service by deepa and crew members. They gave me a wrong drink and when questioned all three team members started yelling, really disappointed", 3981 Jane St, North York
27, Julie Ly ,"I came here when I was younger a lot and the store smelt like vomit and burnt toast, it still does today. I like their ice cappucinos though. Their washrooms are disgusting, they clearly don't clean it or replace the toilet paper. I've seen men walk out of the bathroom before I went in to use it... I don't even bother to use their washrooms anymore. The Jane and Finch mall washrooms are way more cleaner.", 3981 Jane St, North York
28, Ann Link ,"It may seem really crowded and that you may not get a cup of coffee... however, they have these wonderful little booths on the outside of the restaurant where you can sit down relax and map out which stores you wish to visit that day.", 3981 Jane St, North York
29, Gregory Lee ,"Tim Hortons in Jane Finch Mall- A Bustling fast food... Ordered the Turkey melt meal which is Grilled Cheese melt on Turkey deli chunks with mayo, Steak style Friesand a Soda. However I opted for Coffee instead at no extra charge.

Food was good and filling, the Grilled bread was perfect color and texture, the turkey chunks seemed to be made from thick shredded slices which I liked because it added to the taste and texture. The Mayo was a bit warm (could've been warmer/hotter) but was ok. They are a really busy bustling place however service was quick. Had a Good Lunch. Afterwards, I windowshopped the JaneFinch Mall.... (Hey, I'm a tourist...and it's touristy to windowshop...lol).", 3981 Jane St, North York
30, Michael Saps ,Good service and good food!, 3981 Jane St, North York
31, Vicky ,overall decent place. if you’re lucky you’ll be able to find a seat. i don’t recommend this location unless you don’t know any other tim hortons close by. staff are great. the only problem is the crowding and the gross bathrooms, 3981 Jane St, North York
32, T. C.B ,Watched them pour 4 bottom of the of the pots into my cup. Horrible!  Then when she was giving me my change back ahe was more interested  in talking with her friend that she dropped my change on the counter instead of handing it to me. Expect a lot more from Tim Hortons., 3981 Jane St, North York
33, Gary A ,"EDIT: This Tim Hortons just got the large industrial coffee machines, same as the gas station nearby. This coffee tastes like coffee-flavored water.

I will not be returning here.", 3981 Jane St, North York
34, Sina Moo ,Once I asked two dark roast black and then I got one black dark roast and one double double. Not at all a good experience., 3981 Jane St, North York
35, Brian Crabtree ,My Home  Away From Home can't wait to sit in side with my coffee  would be awesome great staff at this store  so don't feel shy come by  see for yourself, 3981 Jane St, North York
36, andrew medeiros ,This tims is so bad some of the people who work there don't even change there gloves when handling money to food this by far is the worst tims I've ever been to and they also make Me a different kind of coffee every time I ask for the same one . The girls there are rude and dirty no class and there are times I would be waiting 10 minutes for a sandwich because no one feels like working I could do there job with a smile on my face also and it would be so easy.., 3981 Jane St, North York
37, Leroy Staglon ,"Feb 26 19 ,855pm had to wait 10min for a sausage on a biscuit  ( eaven thow the cashier showed it it the guy  ( baker I guess) on the screen, very addamount about leaving the oven he was cleaning) to make my  sanwage.", 3981 Jane St, North York
38, AMOXY CILLIN ,"i feel like i have given this timmies a fair shot. i have been here a fair bit before leaving this review

if any location ever needed to enforce a 'no loitering' policy, holy hell would it be this one. at any given time, all (and i mean ALL) available seating is occupied by groups of people playing with the garbage of whatever they purchased hours ago.

it is the absolute loudest and borderline overwhelming tim hortons i have ever been into in my life. you have to yell to the employees your order, and  they have to yell it back to you to confirm. then yell it again when giving you your order. otherwise you just cant hear anything with all the groups of locals. this location has essentially become an extended wing of the food court", 3981 Jane St, North York
39, Vic Handa ,"Coffee usually gives me a headache.  Odly enough I find Time Hortons coffee give more headaches then from other places.  Also, the lids will leak on you.  Which is hell while driving to work in the morning.", 3981 Jane St, North York
40, Reiniere “Rein.” Maghirang ,Very nice people or staff especially now that we have this covid-19 they really concern about health and safety and I wish all of them the best of luck., 3981 Jane St, North York
41, Steve Dillon ,I can't really give a review on this place..there is one on every corner..and it is a highly addictive place...i don't know if it's the coffee or the coziness of the place..but people flock to it like zombies, 3981 Jane St, North York
42, Mohsin Sattar ,"Terrible location! Probably the worst I have seen with the exception of some.
Took 15 minutes to get me a chicken panini and it was not made right!
Also, made ice coffee with no ice.
And lastly, the washrooms are disgusting!", 3981 Jane St, North York
43, Kan Kay ,Worst tim hortons. The lady at the back doesn't even prepare the food properly. Numerous times I received uncook sandwiches. Avoid this location if you can., 3981 Jane St, North York
44, raech ,Literally the slowest Tim Hortons I've EVER been to. Their food isn't even that good either., 3981 Jane St, North York
45, Brian Crabtree ,Tim Hortons At Jane & Finch Mall My Home away from home nice friendly staff who most all ready know what I want when I walk through the door 😂 so nice to get want you an all you have to say is Hi an thanks 😊 …, 3981 Jane St, North York
46, Crystyl Munchkin ,I ordered a toasted bagel with herb and garlic cream cheese and the gave me ham n cheese I complained they gave me plain cream cheese it was a mess. I went back to the cashier told them they made a mistake and they remade it this time it was brunt and the herb n cream cheese was put on slopy. They rush making food., 3981 Jane St, North York
47, Penn Wong ,"The service is not up to normal standard..and the facility is not clean..they have my order mixed up...at the end they didn't try to rectify it...they just refund my purchase...not a good experience...we are not from Toronto.. but from Calgary...our experience in Calgary's Tim Hortons is much better, more friendlier and cleaner", 3981 Jane St, North York
48, Peter L ,"Awful service, very slow, and got most of my order wrong. Normally don't criticize but I had to make a statement.", 3981 Jane St, North York
49, Jim Freeland ,"Went in for breakfest used washroom noticedtoliet seat was very loose and there was broken soap dispenser,tables were dirty and did not control over crowding", 3981 Jane St, North York
50, paras kumar ,This place is okay to go to grab a meal or refreshment but to be honest really dirty i all messy most of the Time serving time is too much they don't call you even if they tell you to wait after your order is ready they gotta be professional and hygienic, 3981 Jane St, North York
51, Tasha Louis ,Best coffee makers I never get a bad cup EVER! My favorite spot for good coffee, 3981 Jane St, North York
52, Ed Cutler ,This place need s help your severs do not listen to the customer. The oatmeal was more like soup than oatmeal. Training is required at this location., 3981 Jane St, North York
53, Mosqy Fareal ,"I love visiting Tim Hortons more for chicken wrap and half cholate and French vanilla drink, I visits thrice a week...is gud😘 …", 3981 Jane St, North York
54, Hadeer Fatouhi ,"One of the worst breakfasts I’ve had in such a long time, they totally messed up my simple order, always triple-check your orders here", 3981 Jane St, North York
55, Camilla Leon ,Hello it great to go get some early coffee taste the best going early you get the best cup fresh, 3981 Jane St, North York
56, Jackie Baechler ,"This Tim Horton's is amazing, service is quick an fast also the staff is awesome", 3981 Jane St, North York
57, maxwell mitchell ,Good place to have a cup of Tim's and hang out with with some friends always busy, 3981 Jane St, North York
58, Don Joseph ,"Busy place, always good coffee", 3981 Jane St, North York
59, Ramin Yamini ,Good place to get a coffee or light food with low price and get warm at bone chilling cold., 3981 Jane St, North York
